ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11345267,JB303622,6/11/2018 21:00,060XX S STONY ISLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE-GARAGE,FALSE,FALSE,314,3,5,42,14,1187913,1865147,2018,6/18/2018 15:51,41.7850493,-87.58656679,"(41.785049304, -87.586566792)"
11540858,JB560375,12/18/2018 19:30,060XX S STONY ISLAND AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,314,3,5,42,26,1187913,1865147,2018,12/25/2018 16:12,41.7850493,-87.58656679,"(41.785049304, -87.586566792)"
11450304,JB441069,9/17/2018 19:30,060XX S INGLESIDE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,235,2,20,42,7,1183487,1865109,2018,9/24/2018 16:05,41.78504937,-87.60279541,"(41.785049368, -87.602795405)"
11276862,JB212673,4/2/2018 20:00,060XX S WOODLAWN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,235,2,20,42,7,1185256,1865136,2018,5/4/2018 15:51,41.78508203,-87.59630872,"(41.78508203, -87.596308718)"
11532740,JB547091,12/3/2018 9:00,060XX S HARPER AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,314,3,5,42,7,1187481,1865156,2018,12/19/2018 16:12,41.78508429,-87.58815038,"(41.785084286, -87.588150382)"
11193575,JB102142,1/2/2018 18:00,060XX S STONY ISLAND AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,314,3,5,42,08B,1187912,1865164,2018,5/4/2018 15:51,41.78509598,-87.58656992,"(41.785095977, -87.586569917)"
11383449,JB353708,7/17/2018 15:15,060XX S STONY ISLAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,314,3,5,42,08B,1187912,1865164,2018,7/24/2018 16:15,41.78509598,-87.58656992,"(41.785095977, -87.586569917)"
11386259,JB357442,7/17/2018 12:00,060XX S STONY ISLAND AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,FALSE,TRUE,314,3,5,42,26,1187912,1865164,2018,7/24/2018 16:15,41.78509598,-87.58656992,"(41.785095977, -87.586569917)"
11307407,JB253519,5/7/2018 12:16,060XX S COTTAGE GROVE AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,235,2,20,42,08A,1182604,1865128,2018,5/14/2018 15:52,41.78512205,-87.60603224,"(41.785122047, -87.60603224)"
11308717,JB255184,5/6/2018 18:00,060XX S COTTAGE GROVE AVE,820,THEFT,$500 AND UNDER,OTHER,FALSE,FALSE,235,2,20,42,6,1182604,1865128,2018,5/13/2018 15:47,41.78512205,-87.60603224,"(41.785122047, -87.60603224)"
11501773,JB508581,11/6/2018 14:05,060XX S COTTAGE GROVE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,FALSE,TRUE,235,2,20,42,26,1182604,1865128,2018,11/13/2018 16:24,41.78512205,-87.60603224,"(41.785122047, -87.60603224)"
11546510,JB567193,12/25/2018 21:00,060XX S COTTAGE GROVE AVE,460,BATTERY,SIMPLE,APARTMENT,TRUE,FALSE,235,2,20,42,08B,1182604,1865128,2018,1/1/2019 16:14,41.78512205,-87.60603224,"(41.785122047, -87.60603224)"
11220659,JB137761,2/1/2018 14:30,060XX S ELLIS AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,FALSE,235,2,20,42,26,1183929,1865166,2018,5/4/2018 15:51,41.78519546,-87.60117308,"(41.785195464, -87.601173081)"
11334914,JB289519,6/2/2018 10:35,060XX S DREXEL AVE,320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,235,2,20,42,3,1183044,1865173,2018,6/9/2018 15:50,41.78523531,-87.60441763,"(41.785235306, -87.604417627)"
11505040,JB512976,11/12/2018 10:44,060XX S WOODLAWN AVE,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,TRUE,FALSE,235,2,20,42,24,1185254,1865204,2018,11/19/2018 16:22,41.78526868,-87.59631391,"(41.785268675, -87.596313914)"
11526483,JB541425,12/4/2018 9:00,060XX S STONY ISLAND AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,314,3,5,42,6,1187910,1865241,2018,12/11/2018 16:20,41.78530732,-87.5865748,"(41.785307319, -87.586574798)"
11296464,JB237198,4/25/2018 10:15,060XX S COTTAGE GROVE AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,313,3,20,42,08B,1182602,1865237,2018,5/4/2018 15:51,41.7854212,-87.60603619,"(41.785421199, -87.606036193)"
11323392,JB274461,5/22/2018 19:30,060XX S COTTAGE GROVE AVE,325,ROBBERY,VEHICULAR HIJACKING,STREET,FALSE,FALSE,313,3,20,42,3,1182602,1865237,2018,5/29/2018 15:59,41.7854212,-87.60603619,"(41.785421199, -87.606036193)"
11478375,JB477835,10/16/2018 13:25,060XX S COTTAGE GROVE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,CTA BUS STOP,TRUE,TRUE,313,3,20,42,08B,1182602,1865237,2018,10/23/2018 16:27,41.7854212,-87.60603619,"(41.785421199, -87.606036193)"
11209220,JB123355,1/20/2018 16:00,060XX S DREXEL AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,235,2,20,42,6,1183042,1865247,2018,5/4/2018 15:51,41.78543842,-87.60442266,"(41.785438415, -87.60442266)"
11447088,JB436787,9/15/2018 14:15,060XX S INGLESIDE AVE,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,FALSE,FALSE,235,2,20,42,6,1183485,1865257,2018,9/22/2018 16:01,41.78545554,-87.60279813,"(41.785455539, -87.602798127)"
11435773,JB421329,9/4/2018 8:40,060XX S ELLIS AVE,810,THEFT,OVER $500,CTA BUS,FALSE,FALSE,235,2,20,42,6,1183926,1865268,2018,9/11/2018 16:02,41.78547543,-87.6011809,"(41.785475431, -87.601180896)"
11349612,JB309232,6/16/2018 10:00,060XX S CORNELL DR,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,STREET,TRUE,FALSE,331,3,5,42,18,1188335,1865316,2018,6/23/2018 15:54,41.78550299,-87.58501419,"(41.785502985, -87.585014189)"
11449077,JB439393,9/17/2018 14:30,060XX S WOODLAWN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,235,2,20,42,14,1185251,1865307,2018,9/24/2018 16:05,41.78555139,-87.59632168,"(41.785551386, -87.596321676)"
11389539,JB362006,7/23/2018 15:00,060XX S STONY ISLAND AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,314,3,5,42,6,1187908,1865335,2018,7/30/2018 15:52,41.78556531,-87.58657914,"(41.78556531, -87.586579138)"
11526972,JB542060,12/5/2018 19:30,060XX S DORCHESTER AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,235,2,20,42,7,1186575,1865345,2018,12/12/2018 16:18,41.78562442,-87.59146615,"(41.785624416, -87.591466145)"
11351963,JB312320,6/17/2018 15:00,060XX S LAKE SHORE DR,820,THEFT,$500 AND UNDER,OTHER,FALSE,FALSE,331,3,5,42,6,1190422,1865381,2018,6/24/2018 15:50,41.78563125,-87.57736032,"(41.785631252, -87.577360323)"
11445239,JB434226,9/13/2018 18:00,010XX E 60TH ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,FALSE,235,2,20,42,26,1184040,1865435,2018,9/20/2018 16:03,41.78593103,-87.60075771,"(41.785931029, -87.600757708)"
11503133,JB510448,11/10/2018 0:01,010XX E 60TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,235,2,20,42,08B,1184040,1865435,2018,11/17/2018 16:14,41.78593103,-87.60075771,"(41.785931029, -87.600757708)"
11235809,JB158626,2/16/2018 16:00,014XX E 60TH ST,1792,KIDNAPPING,CHILD ABDUCTION/STRANGER,STREET,FALSE,FALSE,235,2,5,41,20,1186648,1865519,2018,5/4/2018 15:51,41.78610016,-87.59119299,"(41.786100157, -87.591192991)"
11242569,JB167865,2/27/2018 16:08,059XX S ELLIS AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,235,2,5,41,7,1183920,1865516,2018,5/4/2018 15:51,41.7861561,-87.60119515,"(41.786156104, -87.601195152)"
11247673,JB174722,3/5/2018 10:00,059XX S WOODLAWN AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,235,2,5,41,6,1185243,1865607,2018,5/4/2018 15:51,41.7863748,-87.59634158,"(41.7863748, -87.596341579)"
11395320,JB369396,7/28/2018 16:45,007XX E MIDWAY PLAISANCE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,233,2,20,40,7,1182516,1865597,2018,8/4/2018 15:58,41.78641107,-87.60634034,"(41.786411067, -87.606340344)"
11390737,JB363527,7/24/2018 9:15,008XX E MIDWAY PLAISANCE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,235,2,5,41,14,1182931,1865607,2018,7/31/2018 15:50,41.78642887,-87.60481845,"(41.786428869, -87.604818448)"
11395055,JB368712,7/28/2018 8:59,009XX E MIDWAY PLAISANCE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,235,2,5,41,08B,1183591,1865623,2018,8/4/2018 15:58,41.7864574,-87.60239808,"(41.786457403, -87.60239808)"
11300167,JB243846,4/30/2018 8:10,007XX E MIDWAY PLAISANCE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,233,2,20,40,6,1182347,1865848,2018,5/7/2018 16:03,41.78710375,-87.6069522,"(41.787103753, -87.606952203)"
11453816,JB445415,9/21/2018 10:00,007XX E MIDWAY PLAISANCE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,233,2,20,40,7,1182347,1865848,2018,9/28/2018 16:05,41.78710375,-87.6069522,"(41.787103753, -87.606952203)"
11218661,JB135549,1/30/2018 17:20,008XX E MIDWAY PLAISANCE,486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,FALSE,TRUE,235,2,5,41,08B,1182770,1865864,2018,5/4/2018 15:51,41.78713784,-87.60540077,"(41.787137842, -87.605400772)"
11371458,JB338201,7/6/2018 9:00,009XX E MIDWAY PLAISANCE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,235,2,5,41,7,1183746,1865885,2018,7/13/2018 15:50,41.78717274,-87.6018216,"(41.787172736, -87.601821604)"
11346934,JB304189,6/12/2018 12:50,011XX E MIDWAY PLAISANCE,810,THEFT,OVER $500,STREET,FALSE,FALSE,235,2,5,41,6,1184704,1865908,2018,6/20/2018 15:58,41.78721343,-87.59830837,"(41.78721343, -87.598308367)"
